<VarList>
var.group[0].here[0],var.group[0].here[1],var.group[0].here[2],var.group[0].setpoint[0],var.group[0].setpoint[1],var.group[0].setpoint[2],var.group[0].vtfb
<SampleList>
|4;630.481,-189.163,534.936,630.481,-189.163,534.936,0.078
|5;630.482,-189.163,534.935,630.481,-189.163,534.936,0.146
|6;630.481,-189.163,534.936,630.481,-189.163,534.936,0.089
|7;630.481,-189.164,534.936,630.481,-189.163,534.936,0.065
|8;630.481,-189.163,534.936,630.481,-189.163,534.936,0.12
|9;630.481,-189.163,534.936,630.481,-189.163,534.936,0.027
|10;630.481,-189.163,534.936,630.481,-189.163,534.936,0.086
|11;630.481,-189.164,534.935,630.481,-189.163,534.936,0.124
|12;630.481,-189.163,534.935,630.481,-189.163,534.936,0.095
|13;630.481,-189.163,534.935,630.481,-189.163,534.936,0.015
|14;630.481,-189.164,534.935,630.481,-189.163,534.936,0.08
|15;630.481,-189.164,534.935,630.481,-189.163,534.936,0
|16;630.481,-189.164,534.936,630.481,-189.163,534.936,0.092
|17;630.481,-189.163,534.936,630.481,-189.163,534.936,0.073
|18;630.482,-189.163,534.936,630.481,-189.163,534.936,0.12
|19;630.481,-189.163,534.936,630.481,-189.163,534.936,0.1
|20;630.481,-189.163,534.936,630.481,-189.163,534.936,0.091
|21;630.482,-189.163,534.936,630.481,-189.163,534.936,0.107
|22;630.481,-189.163,534.936,630.481,-189.163,534.936,0.039
|23;630.481,-189.163,534.936,630.481,-189.163,534.936,0.05
|24;630.481,-189.163,534.936,630.481,-189.163,534.936,0.027
|25;630.481,-189.163,534.936,630.481,-189.163,534.936,0.079
|26;630.481,-189.163,534.936,630.481,-189.163,534.936,0.029
|27;630.481,-189.163,534.936,630.481,-189.163,534.936,0.128
|28;630.481,-189.163,534.936,630.481,-189.163,534.936,0.044
|29;630.481,-189.163,534.936,630.481,-189.163,534.936,0.07
|30;630.481,-189.163,534.936,630.481,-189.163,534.936,0.097
|31;630.481,-189.163,534.936,630.481,-189.163,534.936,0.075
|32;630.481,-189.163,534.935,630.481,-189.163,534.936,0.112
|33;630.481,-189.163,534.936,630.481,-189.163,534.936,0.112
|34;630.481,-189.163,534.936,630.481,-189.163,534.936,0.118
|35;630.481,-189.163,534.936,630.481,-189.163,534.936,0.073
|36;630.481,-189.164,534.936,630.481,-189.163,534.936,0.079
|37;630.481,-189.163,534.936,630.481,-189.163,534.936,0.148
|38;630.481,-189.163,534.935,630.481,-189.163,534.936,0.179
|39;630.481,-189.163,534.935,630.481,-189.163,534.936,0.044
|40;630.481,-189.163,534.936,630.481,-189.163,534.936,0.155
|41;630.481,-189.163,534.936,630.481,-189.163,534.936,0.07
|42;630.481,-189.164,534.936,630.481,-189.163,534.936,0.027
|43;630.481,-189.163,534.936,630.481,-189.163,534.936,0.084
|44;630.481,-189.164,534.936,630.481,-189.163,534.936,0.058
|45;630.481,-189.163,534.936,630.481,-189.163,534.936,0.058
