<VarList>
var.group[0].here[0],var.group[0].here[1],var.group[0].here[2],var.group[0].setpoint[0],var.group[0].setpoint[1],var.group[0].setpoint[2],var.group[0].vtfb
<SampleList>
|2;630.874,185.292,603.85,630.874,185.291,603.85,0.097
|3;630.874,185.292,603.85,630.874,185.291,603.85,0.077
|4;630.874,185.292,603.85,630.874,185.291,603.85,0.084
|5;630.874,185.292,603.85,630.874,185.291,603.85,0.103
|6;630.873,185.292,603.85,630.874,185.291,603.85,0.077
|7;630.874,185.291,603.85,630.874,185.291,603.85,0.057
|8;630.874,185.292,603.85,630.874,185.291,603.85,0.106
|9;630.874,185.292,603.85,630.874,185.291,603.85,0.103
|10;630.874,185.292,603.85,630.874,185.291,603.85,0.015
|11;630.874,185.292,603.85,630.874,185.291,603.85,0.015
|12;630.874,185.291,603.85,630.874,185.291,603.85,0.073
|13;630.874,185.291,603.85,630.874,185.291,603.85,0.074
|14;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|15;630.874,185.291,603.85,630.874,185.291,603.85,0.087
|16;630.874,185.292,603.85,630.874,185.291,603.85,0.024
|17;630.874,185.291,603.85,630.874,185.291,603.85,0.084
|18;630.873,185.291,603.85,630.874,185.291,603.85,0.097
|19;630.874,185.291,603.849,630.874,185.291,603.85,0.089
|20;630.874,185.292,603.85,630.874,185.291,603.85,0.065
|21;630.873,185.291,603.85,630.874,185.291,603.85,0.106
|22;630.873,185.291,603.85,630.874,185.291,603.85,0.015
|23;630.873,185.291,603.85,630.874,185.291,603.85,0
|24;630.873,185.291,603.85,630.874,185.291,603.85,0
|25;630.874,185.291,603.85,630.874,185.291,603.85,0.081
|26;630.874,185.292,603.85,630.874,185.291,603.85,0.063
|27;630.874,185.292,603.85,630.874,185.291,603.85,0.082
|28;630.874,185.292,603.85,630.874,185.291,603.85,0.092
|29;630.874,185.292,603.85,630.874,185.291,603.85,0.095
|30;630.874,185.292,603.85,630.874,185.291,603.85,0.07
|31;630.873,185.292,603.85,630.874,185.291,603.85,0.107
|32;630.874,185.291,603.85,630.874,185.291,603.85,0.082
|33;630.874,185.292,603.85,630.874,185.291,603.85,0.081
|34;630.874,185.292,603.85,630.874,185.291,603.85,0.077
|35;630.874,185.291,603.85,630.874,185.291,603.85,0.038
|36;630.873,185.292,603.85,630.874,185.291,603.85,0.109
|37;630.873,185.291,603.85,630.874,185.291,603.85,0.144
|38;630.874,185.291,603.85,630.874,185.291,603.85,0.091
|39;630.874,185.291,603.85,630.874,185.291,603.85,0.076
|40;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|41;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|42;630.874,185.291,603.85,630.874,185.291,603.85,0
|43;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|44;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|45;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|46;630.873,185.291,603.85,630.874,185.291,603.85,0.084
|47;630.873,185.291,603.85,630.874,185.291,603.85,0
|48;630.874,185.291,603.85,630.874,185.291,603.85,0.06
|49;630.874,185.291,603.85,630.874,185.291,603.85,0.07
|50;630.874,185.292,603.85,630.874,185.291,603.85,0.089
|51;630.874,185.292,603.85,630.874,185.291,603.85,0
|52;630.874,185.292,603.85,630.874,185.291,603.85,0.095
|53;630.874,185.292,603.85,630.874,185.291,603.85,0.084
|54;630.874,185.292,603.85,630.874,185.291,603.85,0.05
|55;630.874,185.291,603.85,630.874,185.291,603.85,0.106
|56;630.874,185.291,603.85,630.874,185.291,603.85,0.015
|57;630.874,185.291,603.85,630.874,185.291,603.85,0.115
|58;630.874,185.292,603.85,630.874,185.291,603.85,0.096
|59;630.874,185.292,603.85,630.874,185.291,603.85,0.091
|60;630.874,185.291,603.85,630.874,185.291,603.85,0.109
|61;630.873,185.292,603.85,630.874,185.291,603.85,0.081
|62;630.873,185.292,603.85,630.874,185.291,603.85,0
|63;630.874,185.292,603.849,630.874,185.291,603.85,0.084
|64;630.873,185.292,603.849,630.874,185.291,603.85,0.07
|65;630.874,185.291,603.849,630.874,185.291,603.85,0.087
|66;630.873,185.292,603.85,630.874,185.291,603.85,0.115
|67;630.874,185.292,603.85,630.874,185.291,603.85,0.107
|68;630.874,185.292,603.849,630.874,185.291,603.85,0.115
|69;630.874,185.291,603.849,630.874,185.291,603.85,0.091
|70;630.873,185.291,603.849,630.874,185.291,603.85,0.064
|71;630.874,185.291,603.85,630.874,185.291,603.85,0.093
|72;630.873,185.291,603.85,630.874,185.291,603.85,0.057
